"country","region","infected","deaths","recoveries","active","total_per_mil","deaths_per_mil","total_tests","long","lat","last_updated"
"Tunisia","","866","37","43","786","73","3","15332","9.400138","33.8439408","2020-04-19 12:34:39"
"Ghana","","834","9","99","726","27","3","60916","-1.0800271","8.0300284","2020-04-19 12:34:39"
"Ivory Coast","","801","8","239","554","30","3","0","-5.5679458","7.9897371","2020-04-19 12:34:39"
"Cyprus","","761","12","79","670","630","10","32284","33.1451285","34.9823018","2020-04-19 12:34:39"
"Djibouti","","732","2","76","654","741","2","7486","42.8453061","11.8145966","2020-04-19 12:34:39"
"Latvia","","727","5","88","634","385","3","35881","24.7537645","56.8406494","2020-04-19 12:34:39"
"Diamond Princess","","712","13","644","55","0","0","0","27.5554078","53.8953584","2020-04-19 12:34:39"
"Andorra","","704","35","205","464","9111","453","1673","1.5732033","42.5407167","2020-04-19 12:34:39"
"Lebanon","","672","21","99","552","98","3","20225","35.843409","33.8750629","2020-04-19 12:34:39"
"Costa Rica","","655","4","97","554","129","8","10138","-84.0739102","10.2735633","2020-04-19 12:34:39"
"Niger","","639","19","113","507","26","8","4715","9.3238432","17.7356214","2020-04-19 12:34:39"
"Burkina Faso","","565","36","321","208","27","2","0","-1.6880314","12.0753083","2020-04-19 12:34:39"
"Kyrgyzstan","","554","5","133","416","85","8","26147","74.724091","41.5089324","2020-04-19 12:34:39"
"Albania","","548","26","302","220","190","9","5311","19.9999619","41.000028","2020-04-19 12:34:39"
"Nigeria","","542","19","166","357","3","9","7153","7.9999721","9.6000359","2020-04-19 12:34:39"
"Bolivia","","520","32","31","457","45","3","3569","-64.9912286","-17.0568696","2020-04-19 12:34:39"
"Guinea","","518","3","65","450","39","2","0","-10.7083587","10.7226226","2020-04-19 12:34:39"
"Uruguay","","517","9","298","210","149","3","12478","-56.0201525","-32.8755548","2020-04-19 12:34:39"
"Channel Islands","","484","21","73","390","2784","121","3320","-145.7996671","60.6167942","2020-04-19 12:34:39"
"Honduras","","472","46","15","411","48","5","2535","-86.0755145","15.2572432","2020-04-19 12:34:39"
"San Marino","","455","39","60","356","13410","1149","1605","12.458306","43.9458623","2020-04-19 12:34:39"
"Malta","","426","3","99","324","965","7","23253","14.4476911","35.8885993","2020-04-19 12:34:39"
"Taiwan","","420","6","189","225","18","3","53005","120.83536313817521","23.59829785","2020-04-19 12:34:39"
"Palestine","","418","2","69","347","82","4","17329","35.27386547291496","31.94696655","2020-04-19 12:34:39"
"Jordan","","413","7","269","137","40","7","20500","36.941628","31.1667049","2020-04-19 12:34:39"
"Réunion","","407","0","237","170","455","0","0","55.5265771","-21.1309332","2020-04-19 12:34:39"
"Georgia","","388","4","86","298","97","1","5027","-83.1137366","32.3293809","2020-04-19 12:34:39"
"Senegal","","350","3","211","136","21","2","0","-14.4529612","14.4750607","2020-04-19 12:34:39"
"Mauritius","","325","9","180","136","256","7","9755","57.5703566","-20.2759451","2020-04-19 12:34:39"
"Montenegro","","308","5","55","248","490","8","3874","19.5180992","42.9868853","2020-04-19 12:34:39"
"DRC","","307","25","26","256","3","3","0","23.8222636","-2.9814344","2020-04-19 12:34:39"
"Isle of Man","","297","6","180","111","3493","71","2414","-4.514598745698255","54.2358167","2020-04-19 12:34:39"
"Vietnam","","268","0","201","67","3","0","206253","108.4265113","13.2904027","2020-04-19 12:34:39"
"Kenya","","262","12","60","190","5","2","10784","38.4313975","1.4419683","2020-04-19 12:34:39"
"Guatemala","","257","7","21","229","14","4","7200","-89.8988087","15.6356088","2020-04-19 12:34:39"
