"country","region","infected","deaths","recoveries","active","total_per_mil","deaths_per_mil","total_tests","long","lat","last_updated"
"Djibouti","","363","2","53","308","367","2","5356","42.8453061","11.8145966","2020-04-15 13:44:32"
"Guinea","","363","0","31","332","28","0","0","-10.7083587","10.7226226","2020-04-15 13:44:32"
"Mauritius","","324","9","51","264","255","7","8279","57.5703566","-20.2759451","2020-04-15 13:44:32"
"Palestine","","308","2","62","244","60","4","17329","35.27386547291496","31.94696655","2020-04-15 13:44:32"
"Georgia","","306","3","69","234","77","8","5027","-83.1137366","32.3293809","2020-04-15 13:44:32"
"Senegal","","299","2","183","114","18","1","0","-14.4529612","14.4750607","2020-04-15 13:44:32"
"Montenegro","","288","4","46","238","459","6","2869","19.5180992","42.9868853","2020-04-15 13:44:32"
"Vietnam","","267","0","169","98","3","0","132771","108.4265113","13.2904027","2020-04-15 13:44:32"
"Isle of Man","","254","2","141","111","2987","24","2122","-4.514598745698255","54.2358167","2020-04-15 13:44:32"
"DRC","","241","20","20","201","3","2","0","23.8222636","-2.9814344","2020-04-15 13:44:32"
"Sri Lanka","","233","7","61","165","11","3","4768","80.7137847","7.5554942","2020-04-15 13:44:32"
"Mayotte","","217","3","69","145","795","11","1500","45.1520755","-12.823048","2020-04-15 13:44:32"
"Kenya","","216","9","41","166","4","2","8123","38.4313975","1.4419683","2020-04-15 13:44:32"
"Venezuela","","197","9","111","77","7","3","225009","-66.1109318","8.0018709","2020-04-15 13:44:32"
"Faeroe Islands","","184","0","166","18","3766","0","5677","-7.0322972","62.0448724","2020-04-15 13:44:32"
"Guatemala","","180","5","19","156","10","3","1134","-89.8988087","15.6356088","2020-04-15 13:44:32"
"Paraguay","","161","8","23","130","23","1","3640","-58.1693445","-23.3165935","2020-04-15 13:44:32"
"El Salvador","","159","6","30","123","25","9","7785","-88.9140683","13.8000382","2020-04-15 13:44:32"
"Martinique","","158","8","73","77","421","21","0","-60.9620777","14.6113732","2020-04-15 13:44:32"
"Guadeloupe","","145","8","67","70","362","20","0","-61.5650444","16.2490067","2020-04-15 13:44:32"
"Mali","","144","13","34","97","7","6","0","-2.2900239","16.3700359","2020-04-15 13:44:32"
"Brunei","","136","1","107","28","311","2","10350","114.5653908","4.4137155","2020-04-15 13:44:32"
"Rwanda","","134","0","49","85","10","0","6237","30.0644358","-1.9646631","2020-04-15 13:44:32"
"Gibraltar","","129","0","93","36","3829","0","1649","-5.335277183483561","36.10674695","2020-04-15 13:44:32"
"Cambodia","","122","0","96","26","7","0","5768","104.869423","13.5066394","2020-04-15 13:44:32"
"Trinidad and Tobago","","113","8","17","88","81","6","1152","-60.9821067","10.8677845","2020-04-15 13:44:32"
"Madagascar","","108","0","23","85","4","0","0","46.4416422","-18.9249604","2020-04-15 13:44:32"
"Jamaica","","105","5","21","79","35","2","1290","-77.1598454610168","18.1152958","2020-04-15 13:44:32"
"Monaco","","93","1","6","86","2370","25","0","7.4276832","43.7323492","2020-04-15 13:44:32"
"Aruba","","92","0","32","60","862","0","1154","-69.9618475","12.5013629","2020-04-15 13:44:32"
"French Guiana","","86","0","51","35","288","0","0","-52.999998","4.0039882","2020-04-15 13:44:32"
"Ethiopia","","82","3","14","65","7","3","4557","38.6521203","10.2116702","2020-04-15 13:44:32"
"Gabon","","80","1","4","75","36","4","0","11.6899699","-0.8999695","2020-04-15 13:44:32"
"Liechtenstein","","79","1","55","23","2072","26","900","9.5531527","47.1416307","2020-04-15 13:44:32"
"Togo","","77","3","32","42","9","4","2806","1.0199765","8.7800265","2020-04-15 13:44:32"
"Congo","","74","5","10","59","13","9","0","15.6419155","-0.7264327","2020-04-15 13:44:32"
"Myanmar","","74","4","2","68","1","7","2836","95.9999652","17.1750495","2020-04-15 13:44:32"
"Barbados","","73","5","15","53","254","17","864","-59.5250305","13.1500331","2020-04-15 13:44:32"
"Somalia","","60","2","2","56","4","1","0","49.083416","8.3676771","2020-04-15 13:44:32"
"Liberia","","59","6","4","49","12","1","0","-9.3658524","5.7499721","2020-04-15 13:44:32"
"Bermuda","","57","5","30","22","915","80","416","-64.7603583","32.3018217","2020-04-15 13:44:32"
"French Polynesia","","55","0","0","55","196","0","920","-146.0490931059517","-16.03442485","2020-04-15 13:44:32"
"Uganda","","55","0","8","47","1","0","6661","32.2166578","1.5333554","2020-04-15 13:44:32"
"Cayman Islands","","54","1","6","47","822","15","580","-80.5667132","19.5417212","2020-04-15 13:44:32"
"Tanzania","","53","3","7","43","9","5","0","35.7878438","-6.5247123","2020-04-15 13:44:32"
"Sint Maarten","","52","9","5","38","1213","210","134","4.9237307","50.8381331","2020-04-15 13:44:32"
"Bahamas","","49","8","6","35","125","20","0","-78.0000547","24.7736546","2020-04-15 13:44:32"
"Guyana","","47","6","8","33","60","8","213","-58.6416891","4.8417097","2020-04-15 13:44:32"
"Zambia","","45","2","30","13","2","1","1696","27.5599164","-14.5186239","2020-04-15 13:44:32"
"Macao","","45","0","10","35","69","0","0","113.5514142","22.1757605","2020-04-15 13:44:32"
"Guinea-Bissau","","43","0","0","43","22","0","1500","-14.9000214","12.100035","2020-04-15 13:44:32"
"Equatorial Guinea","","41","0","4","37","29","0","854","10.5170357","1.613172","2020-04-15 13:44:32"
"Haiti","","40","3","0","37","4","3","365","-72.3570972","19.1399952","2020-04-15 13:44:32"
