"country","region","infected","deaths","recoveries","active","total_per_mil","deaths_per_mil","total_tests","long","lat","last_updated"
"Malaysia","Kuala Selangor, Selangor","35","0","0","0","0","0","0","101.2495699","3.340688","2020-04-19 12:34:39"
"Malaysia","Petaling, Selangor","363","0","0","0","0","0","0","101.642697","3.1055929","2020-04-19 12:34:39"
"Malaysia","Sabak Bernam, Selangor","23","0","0","0","0","0","0","100.98425","3.7711333","2020-04-19 12:34:39"
"Malaysia","Sepang, Selangor","68","0","0","0","0","0","0","101.7501574","2.6923752","2020-04-19 12:34:39"
"Malaysia","Besut, Terengganu","32","0","0","0","0","0","0","102.5063696197627","5.61023745","2020-04-19 12:34:39"
"Malaysia","Dungun, Terengganu","37","0","0","0","0","0","0","103.416885","4.769677","2020-04-19 12:34:39"
"Malaysia","Kemaman, Terengganu","5","0","0","0","0","0","0","103.11948723134745","4.1927895","2020-04-19 12:34:39"
"Malaysia","Kuala Nerus, Terengganu","4","0","0","0","0","0","0","","","2020-04-19 12:34:39"
"Malaysia","Kuala Terengganu, Terengganu","18","0","0","0","0","0","0","103.138313","5.3297015","2020-04-19 12:34:39"
"Malaysia","Marang, Terengganu","2","0","0","0","0","0","0","103.2042795","5.2065457","2020-04-19 12:34:39"
"Malaysia","Setiu, Terengganu","8","0","0","0","0","0","0","102.7636765","5.5690587","2020-04-19 12:34:39"
"Malaysia","Cheras","78","0","0","0","0","0","0","101.71649","3.107178","2020-04-19 12:34:39"
"Malaysia","Kepong","142","0","0","0","0","0","0","101.6235813","3.2059002","2020-04-19 12:34:39"
"Malaysia","Labuan","15","0","0","0","0","0","0","115.2433556","5.2769876","2020-04-19 12:34:39"
"Malaysia","Lembah Pantai","577","0","0","0","0","0","0","101.6721893","3.1044441","2020-04-19 12:34:39"
"Malaysia","Putrajaya","54","0","0","0","0","0","0","101.6840462","2.9179998","2020-04-19 12:34:39"
"Malaysia","Titiwangsa","129","0","0","0","0","0","0","101.69527833429564","3.173573","2020-04-19 12:34:39"
"Malaysia","Beaufort, Sabah","10","0","0","0","0","0","0","115.7438739","5.3458088","2020-04-19 12:34:39"
"Malaysia","Keningau, Sabah","11","0","0","0","0","0","0","116.1522926","5.3316572","2020-04-19 12:34:39"
"Malaysia","Kinabatangan, Sabah","19","0","0","0","0","0","0","117.7421951","5.4178238","2020-04-19 12:34:39"
"Malaysia","Kota Belud, Sabah","5","0","0","0","0","0","0","116.4292891","6.3497629","2020-04-19 12:34:39"
"Malaysia","Kota Kinabalu, Sabah","40","0","0","0","0","0","0","116.0728988","5.9780066","2020-04-19 12:34:39"
"Malaysia","Kunak, Sabah","8","0","0","0","0","0","0","118.25","4.6833333","2020-04-19 12:34:39"
"Malaysia","Lahad Datu, Sabah","39","0","0","0","0","0","0","118.3276498","5.0215721","2020-04-19 12:34:39"
"Malaysia","Papar, Sabah","4","0","0","0","0","0","0","115.9320971","5.7330227","2020-04-19 12:34:39"
"Malaysia","Penampang, Sabah","11","0","0","0","0","0","0","116.07721407013813","5.92761995","2020-04-19 12:34:39"
"Malaysia","Putatan, Sabah","8","0","0","0","0","0","0","116.05","5.8833333","2020-04-19 12:34:39"
"Malaysia","Ranau, Sabah","2","0","0","0","0","0","0","116.6662881","5.9511437","2020-04-19 12:34:39"
"Malaysia","Sandakan, Sabah","20","0","0","0","0","0","0","118.1158919","5.8391337","2020-04-19 12:34:39"
"Malaysia","Semporna, Sabah","2","0","0","0","0","0","0","118.6117454","4.4800256","2020-04-19 12:34:39"
"Malaysia","Sipitang, Sabah","4","0","0","0","0","0","0","115.54973","5.0761521","2020-04-19 12:34:39"
"Malaysia","Tambunan, Sabah","3","0","0","0","0","0","0","116.3655408","5.6688001","2020-04-19 12:34:39"
"Malaysia","Tawau, Sabah","79","0","0","0","0","0","0","117.8853513","4.2434583","2020-04-19 12:34:39"
"Malaysia","Tuaran, Sabah","20","0","0","0","0","0","0","116.2258042","6.1747017","2020-04-19 12:34:39"
"Malaysia","Betong, Sarawak","16","0","0","0","0","0","0","111.5280962","1.4115918","2020-04-19 12:34:39"
"Malaysia","Bintulu, Sarawak","8","0","0","0","0","0","0","113.0472803","3.1874261","2020-04-19 12:34:39"
"Malaysia","Kuching, Sarawak","245","0","0","0","0","0","0","110.3439862","1.5574127","2020-04-19 12:34:39"
