"country","region","infected","deaths","recoveries","long","lat","last_updated"
"Indonesia","Banten","143","7","14","105.54102849016589","-6.47800285","2020-04-03 05:25:13"
"Indonesia","Bengkulu","0","0","1","102.5359834","-3.5186763","2020-04-03 05:25:13"
"Indonesia","Central Java","90","7","7","110.37164897312938","-5.6259648","2020-04-03 05:25:13"
"Indonesia","Central Kalimantan","7","2","0","113.2903307","-1.499583","2020-04-03 05:25:13"
"Indonesia","Central Sulawesi","2","0","0","120.8088555","-1.6937786","2020-04-03 05:25:13"
"Indonesia","East Java","71","22","11","112.4914199","-7.6977397","2020-04-03 05:25:13"
"Indonesia","East Kalimantan","20","0","1","116.2419977","0.7884397","2020-04-03 05:25:13"
"Indonesia","East Nusa Tenggara","0","0","0","120.6978581","-8.5656787","2020-04-03 05:25:13"
"Indonesia","Gorontalo","0","0","0","122.4555927","0.7186174","2020-04-03 05:25:13"
"Indonesia","Jakarta","755","52","90","106.827183","-6.1753942","2020-04-03 05:25:13"
"Indonesia","Jambi","2","0","0","102.779699","-1.611572","2020-04-03 05:25:13"
"Indonesia","Lampung","7","0","1","105.0272986","-4.8555039","2020-04-03 05:25:13"
"Indonesia","Maluku","0","1","0","130.35838229206553","-5.3580518","2020-04-03 05:25:13"
"Indonesia","North Maluku","1","0","0","127.9720219","0.6301215","2020-04-03 05:25:13"
"Indonesia","North Kalimantan","2","0","0","116.2049306","3.0235817","2020-04-03 05:25:13"
"Indonesia","North Sulawesi","2","1","0","124.090151","0.6555692","2020-04-03 05:25:13"
"Indonesia","North Sumatera","19","0","3","98.527527","3.3791649","2020-04-03 05:25:13"
"Indonesia","Papua","8","2","0","137.9966136","-4.11501855","2020-04-03 05:25:13"
"Indonesia","Riau","6","1","0","101.65561770919261","0.94000845","2020-04-03 05:25:13"
"Indonesia","Riau Islands","6","0","1","104.5803745","-0.1547846","2020-04-03 05:25:13"
"Indonesia","South Kalimantan","8","0","0","115.3700718","-2.9285686","2020-04-03 05:25:13"
"Indonesia","South Sulawesi","61","0","5","119.9471906","-3.6446718","2020-04-03 05:25:13"
"Indonesia","Southeast Sulawesi","3","0","0","121.7279646","-3.5491199","2020-04-03 05:25:13"
"Indonesia","South Sumatera","9","0","2","98.70260070595354","2.6023745500000004","2020-04-03 05:25:13"
"Indonesia","West Java","177","21","25","107.6404716","-6.8891904","2020-04-03 05:25:13"
"Indonesia","West Kalimantan","6","2","2","111.0968901","-0.1322387","2020-04-03 05:25:13"
"Indonesia","West Nusa Tenggara","6","0","0","117.146169","-8.7892855","2020-04-03 05:25:13"
"Indonesia","West Papua","1","0","1","132.902528","-1.3842356","2020-04-03 05:25:13"
"Indonesia","West Sulawesi","1","0","0","119.3918955","-2.4974546","2020-04-03 05:25:13"
"Indonesia","West Sumatra","8","0","0","100.07222762395327","-1.33589025","2020-04-03 05:25:13"
"Indonesia","Yogyakarta","23","1","3","110.364917","-7.8011945","2020-04-03 05:25:13"
"Malaysia","","3116","50","767","102.2656823","4.5693754","2020-04-03 05:25:13"
"Thailand","","1875","15","505","100.83273","14.8971921","2020-04-03 05:25:13"
"Japan","","2384","57","472","139.2394179","36.5748441","2020-04-03 05:25:13"
"Cambodia","","110","0","34","104.869423","13.5066394","2020-04-03 05:25:13"
